miedo		temor		susto		espanto
esconderse	ocultarse	encerrarse	recatarse
abandonar	dejar		desamparar	descuidar
inicuo		malvado		infame		injusto
devastacion	destruccion	ruina		asolamiento
tiritar		temblar		estremecerse	castanetear
arrojar		lanzar		tirar		echar	
juntar		recoger		reunir		amontonar	
entretenerse	divertirse	recrearse	distraerse
desparramar	esparcir	dispersar	extender
tranquila	quieta		pacifica	serena
inutil		vano		ocioso		esteril
practico	habil		experto		conocedor
saber		conocer		entender	dominar
formacion	construccion	elaboracion	constitucion
descubrir	hallar		encontrar	inventar
revelar		descubrir	delatar		confesar
designio	intencion	proposito	proyecto
delatarse	denunciarse	acusarse	descubrirse
ahuyentar	alejar		desechar	espantar
sigiloso	silencioso	discreto	callado
rostro		cara		faz		fisonomia
alba		aurora		madrugada	amanecer
vago		desocupado	inoficioso	vacante
vahido		turbado		desvanecido	mareado
